model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,conv,262144,16.464745896203176,6.28080211494567e-05,1.011212175155737,0.534168400170736,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,conv,589824,17.205279077802384,2.91701915788479e-05,1.056693361082367,0.2480860610346079,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,conv,262144,13.700943207740783,5.226495059105218e-05,0.8414682297635511,0.4445019048728047,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,conv,262144,26.640560150146484,0.00010162567195948213,1.6361782287213529,0.8643039792273758,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,conv,589824,20.665000298443964,3.503587561449511e-05,1.2691784029416648,0.2979724131260525,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,conv,262144,13.261215673910606,5.058752317013018e-05,0.814461567239666,0.43023575374372747,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,conv,262144,50.588735379670794,0.00019298071052425687,3.106998763549192,1.6412584812894702,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,conv,589824,30.981848776340485,5.252727724938369e-05,1.9028063286840031,0.4467329353819436,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,conv,262144,16.432009713990347,6.268314252468241e-05,1.0092016232632015,0.5331063349441869,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,conv,262144,52.04556680494739,0.00019853808137873608,3.1964727028177533,1.6885226976135075,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,conv,589824,23.916339673494036,4.0548264691660624e-05,1.468865296522698,0.3448540693314178,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,conv,262144,16.950459365844726,6.466087099397555e-05,1.0410431471752892,0.5499264804141508,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,conv,262144,32.631351947784424,0.00012447872904886026,2.0041135520348816,1.0586642013938277,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,conv,589824,6.641809940338135,1.1260664096981702e-05,0.40791878107812873,0.09576947045077845,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,conv,262144,6.876856546401978,2.6233125863655006e-05,0.42235459389171137,0.22310696337210373,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,conv,524288,64.79492782592773,0.00012358651700196787,3.9794977899431068,1.0510761342492272,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,conv,2359296,16.132364609662226,6.837787462727112e-06,0.9907983767367986,0.05815387784596766,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,conv,1048576,11.831232303228134,1.1283142379024634e-05,0.7266365498467275,0.09596064329363697,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,conv,2097152,80.91361999511719,3.858262061839923e-05,4.969456448997208,0.32813669899076336,0.20632861938722824,0.12181014028750507
