model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace
resnet50_no_weights,CIFAR10,qat,20260811,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",10.847502451676588
resnet50_no_weights,CIFAR10,qat,20260811,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",17.964557855025582
resnet50_no_weights,CIFAR10,qat,20260811,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",1.944605209997722
resnet50_no_weights,CIFAR10,qat,20260811,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",2.6904619614283245
resnet50_no_weights,CIFAR10,qat,20260811,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",2.8808178319487463
resnet50_no_weights,CIFAR10,qat,20260811,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",3.8010225553770325
resnet50_no_weights,CIFAR10,qat,20260811,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",2.4721794821120597
resnet50_no_weights,CIFAR10,qat,20260811,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",3.286078803241253
resnet50_no_weights,CIFAR10,qat,20260811,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",5.068579612459455
resnet50_no_weights,CIFAR10,qat,20260811,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",6.19602484703064
resnet50_no_weights,CIFAR10,qat,20260811,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",3.9023379366448583
resnet50_no_weights,CIFAR10,qat,20260811,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",38.057209190569424
resnet50_no_weights,CIFAR10,qat,20260811,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",34.643272454398016
resnet50_no_weights,CIFAR10,qat,20260811,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",16.869387796946935
resnet50_no_weights,CIFAR10,qat,20260811,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",21.313144023601826
resnet50_no_weights,CIFAR10,qat,20260811,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.5158281557021605
resnet50_no_weights,CIFAR10,qat,20260811,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",10.504589687694203
resnet50_no_weights,CIFAR10,qat,20260811,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",8.016240442500395
resnet50_no_weights,CIFAR10,qat,20260811,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",13.12213542882134
resnet50_no_weights,CIFAR10,qat,20260811,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",10.305722633997599
resnet50_no_weights,CIFAR10,qat,20260811,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",8.227340017046247
resnet50_no_weights,CIFAR10,qat,20260811,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",26.00118401471306
resnet50_no_weights,CIFAR10,qat,20260811,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",20.646652277778177
