model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,27.0722758769989,3.1700360774993896,0.00019348364730831236,85.82009123010295,80.56,80.52,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,58.82974202292306,0.35916754603385925,2.1921847292105667e-05,21.12973407617828,80.56,80.49,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,14.924482864992958,0.7813042402267456,2.119423394712309e-05,11.660561745610407,80.56,80.43,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,17.54409255981445,1.8495348691940308,0.00011288664973108098,32.44841093774439,80.56,80.51,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,53.52967922504131,0.3859567940235138,1.1778466614487115e-05,20.660143378804037,80.56,80.43,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,43.0045686412502,1.148950219154358,7.791817349950887e-06,49.41010856500305,80.56,80.28,0.28000000000000114
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,30.201567422775994,3.6423630714416504,5.557804979616776e-05,110.00507388037445,80.56,80.42,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,49.13525886535645,2.160994529724121,1.6487079847138375e-05,106.18102562461391,80.56,80.41,0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,10.880938561757404,0.6478497982025146,9.885403414955363e-06,7.049213851488494,80.56,80.61,-0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,15.530203317341051,1.1354970932006836,7.70058250054717e-06,17.634500723656377,80.56,80.57,-0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,9.84283922029578,2.862550735473633,4.36790578532964e-05,28.175626649206404,80.56,80.58,-0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,18.025308756992736,0.6133673191070557,9.359242540085688e-06,11.056135308353568,80.56,80.45,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,13.566019654273989,1.1959712505340576,8.110699127428234e-06,16.224569490691668,80.56,80.62,-0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,8.48062303148467,1.020018219947815,1.5564242858090438e-05,8.650390008623436,80.56,80.7,-0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,44.221316103075374,0.6363118886947632,9.70934888755437e-06,28.138549170116036,80.56,80.49,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,24.302476565043133,1.4045984745025635,9.525543039975068e-06,34.13522150989388,80.56,80.69,-0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,12.607732852300009,0.7974762916564941,1.2168522516731173e-05,10.054368041247965,80.56,80.69,-0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,59.34945920995764,1.155250072479248,8.813858585199341e-06,68.56346705390773,80.56,80.57,-0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2,27.388193213421367,3.3941941261291504,5.7545880230868025e-06,92.96084453028506,80.56,80.78,-0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3,20.54955818918016,2.4758782386779785,9.444725947105326e-06,50.87820393503801,80.56,80.69,-0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,40.45786872863769,3.7950565814971924,7.23849598216475e-06,153.5399009919659,80.56,80.7,-0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1,9.839548746744793,1.5029432773590088,5.733273610530887e-06,14.788283641166347,80.56,80.7,-0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2,8.796604116757711,3.449777126312256,5.848824609226237e-06,30.34632367121498,80.56,80.62,-0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3,10.770219131752295,1.7438921928405762,6.652420779573731e-06,18.782101059045036,80.56,80.56,0.0
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1,9.418274541055002,1.5016052722930908,5.728169526264537e-06,14.14253070675198,80.56,80.64,-0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2,7.541239870919122,3.8643763065338135,6.5517447688358115e-06,29.142188679067967,80.56,80.62,-0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3,8.403655008836227,1.730047345161438,6.599606876989128e-06,14.538721037689735,80.56,80.48,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1,26.54736691136514,1.4352957010269165,5.475218586070696e-06,38.1033216014666,80.56,80.58,-0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,19.884422847202845,3.8470730781555176,6.522408511955291e-06,76.49682781013455,80.56,80.55,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3,13.919209872351752,1.8221403360366821,6.95091375746415e-06,25.362753754172125,80.56,80.59,-0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1,25.857580184936523,1.3179652690887451,5.027638508181553e-06,34.07939262642367,80.56,80.76,-0.20000000000000284
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,10.46152651309967,3.7166619300842285,6.301306711975485e-06,38.88195732180435,80.56,80.38,0.18000000000000682
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3,8.31275780060712,1.425818920135498,5.439067535917275e-06,11.85248735060958,80.56,80.48,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1,20.54322032928467,1.2490419149398804,4.7647167775721755e-06,25.659343259121602,80.56,80.55,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,8.545442177699162,3.633517265319824,6.16034150071856e-06,31.050011692462142,80.56,80.55,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3,7.926660285276525,1.235762357711792,4.714059286925476e-06,9.795468402913745,80.56,80.59,-0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1,56.24257329992346,2.3019657135009766,4.390651156427339e-06,129.46847537548928,80.56,80.49,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2,17.105448325475056,10.155057907104492,4.30427462561056e-06,173.70681827218277,80.56,80.45,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3,18.29431047439575,4.445934772491455,4.239973804942565e-06,81.33531107687071,80.56,80.53,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,56.31942343711853,8.893184661865234,4.2406009015394375e-06,500.8590326760759,80.56,80.2,0.35999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1,31.774104527064733,6.117690086364746,5.834283911099192e-06,194.3841242683411,80.56,80.57,-0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2,82.75253281226524,11.048253059387207,4.682860081730824e-06,914.2709238151497,80.56,80.53,0.030000000000001137
