model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",10.786577844619751,aggregate,3,0.24431754883726867
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",16.41469546953837,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",14.208124923706055,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",14.324453390561617,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",14.982424594602014,aggregate,3,1.2417459371560093
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",11.203708950678507,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",11.312642996127789,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",11.167796784433826,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",11.228049577080041,aggregate,3,0.07542848156192296
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",21.50945085287094,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",15.942319981257121,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",18.597752621299342,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",18.68317448514247,aggregate,3,2.7845482948829847
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",31.84280055363973,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",30.981513023376465,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",32.71043297449748,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",31.844915517171223,aggregate,3,0.8644619159622517
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",22.254387664794923,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",21.653648376464844,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",23.300153891245525,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",22.402729977501764,aggregate,3,0.833216168743268
