model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.36564990878105164,0.686207115650177,1.7705605030059814,4.842228756212215,9.782508440869089,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9065268635749817,1.5327107906341553,3.113988161087036,3.435075435940976,5.65068610375819,44,3,
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.629297256469727,13.604154586791992,13.655121803283691,1.0812257820828832,1.724349301936497,44,3,
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9610230525334676,1.5312472581863403,3.4963847001393638,3.6361553478390367,8.760516790447364,aggregate,3,0.3379134339813592
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.34315013885498,15.286334037780762,15.98696231842041,1.297953797358311,1.7648863455411241,aggregate,3,0.19187422115787048
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.7141583363215128,1.1859569152196248,2.9890984694163003,4.185049485403786,13.48642789556662,aggregate,3,0.30644383867814395
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.8048861424128214,1.4318360090255737,3.7948718865712485,4.713457095544785,11.526174694694474,aggregate,3,0.19135370739560276
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6781399051348368,1.3450706005096436,3.5055654048919678,5.16916247942155,12.725202972956792,aggregate,3,0.17935490248716862
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.677569846312205,1.1316566467285156,2.709787448247274,3.9998387599698697,10.547874358591791,aggregate,3,0.20624643781298835
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.49912415941556293,0.8068513671557108,1.7726025183995564,3.5504333931214145,8.322223427415116,aggregate,3,0.15892866168317668
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.6185250480969747,1.0242966016133626,2.827357053756714,4.570924352171355,9.238300437278694,aggregate,3,0.38734846535271983
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6314015785853068,1.1591647466023762,4.273391405741374,6.7666615303152025,11.574182879497698,aggregate,3,0.3570137053144949
