model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.5.conv3.weight,5.978722132169283
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.conv1.weight,21.92832867304484
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.conv2.weight,17.058581506052324
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.conv3.weight,11.894488592942556
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.downsample.0.weight,38.5130125392567
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.1.conv1.weight,27.73841905593872
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.1.conv2.weight,61.15993322644915
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.1.conv3.weight,22.077637606653674
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.2.conv1.weight,21.42057632264637
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.2.conv2.weight,13.477428656357985
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.2.conv3.weight,5.990572655200959
resnet50_no_weights,CIFAR10,trained_fp32,,,fc.weight,5.493646225263906
resnet50_no_weights,CIFAR10,random,42,3,conv1.weight,136.30534773606522
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.conv1.weight,26.33362383312649
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.conv2.weight,249.06848409901494
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.conv3.weight,108.01334190368652
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.downsample.0.weight,137.69332972935268
resnet50_no_weights,CIFAR10,random,42,3,layer1.1.conv1.weight,33.20958213806152
resnet50_no_weights,CIFAR10,random,42,3,layer1.1.conv2.weight,263.4776191711426
resnet50_no_weights,CIFAR10,random,42,3,layer1.1.conv3.weight,174.80573844909668
resnet50_no_weights,CIFAR10,random,42,3,layer1.2.conv1.weight,54.78938674926758
resnet50_no_weights,CIFAR10,random,42,3,layer1.2.conv2.weight,457.83245849609375
resnet50_no_weights,CIFAR10,random,42,3,layer1.2.conv3.weight,274.6202262595848
