model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,40.50747028986613,10.00156021118164,1.6956855284257068e-05,405.1379031067475,84.69,89.98,-5.290000000000006,5.290000000000006
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,19.43949216471778,1.7075552940368652,5.211045208852738e-05,33.19400775925201,84.69,89.91,-5.219999999999999,5.219999999999999
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,82.71568787699998,4.302252292633057,7.294128914104982e-06,355.8637578055435,84.69,89.71,-5.019999999999996,5.019999999999996
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,13.247708580710672,11.06822395324707,1.8765299399900767e-05,146.6286054386586,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,74.59173630833651,5.050237655639648,4.281139505716662e-06,376.7059955039042,84.69,89.81,-5.1200000000000045,5.1200000000000045
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,14.999375835103526,14.923433303833008,6.325375579763204e-06,223.842184874292,84.69,89.79,-5.1000000000000085,5.1000000000000085
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,5.951396925428994,6.026165962219238,4.597599763656035e-05,35.864105579676426,84.69,89.74,-5.049999999999997,5.049999999999997
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,61.53488037265532,10.317546844482422,4.3731464150672155e-06,634.8890108144932,84.69,89.75,-5.060000000000002,5.060000000000002
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,2.159132648191173,15.525166511535645,6.580423359991983e-06,33.52089388366087,84.69,89.72,-5.030000000000001,5.030000000000001
resnet18_no_weights,CIFAR10,QAT,fc,3.168866296099801,1.9481372833251953,0.0003804955631494522,6.17338657730464,84.69,89.93,-5.240000000000009,5.240000000000009
resnet50_no_weights,CIFAR10,QAT,conv1,182.5015442043156,0.1318042278289795,7.62755948084372e-05,24.054475111446184,80.56,81.91,-1.3499999999999943,1.3499999999999943
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,2.5889641645146004,0.8289011120796204,0.00020236843556631356,2.1459952751004376,80.56,80.81,-0.25,0.25
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,4.554832085535751,0.585870623588562,1.589275780133903e-05,2.668542314294021,80.56,80.39,0.1700000000000017,0.1700000000000017
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,1.932747515046024,2.9343085289001465,0.00017909597954712808,5.671277517610113,80.56,80.29,0.269999999999996,0.269999999999996
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,5.43593457903078,3.145984649658203,0.00019201566465198994,17.10136674217706,80.56,80.4,0.1599999999999966,0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,3.754158942762744,0.42729300260543823,2.607989517855458e-05,1.6041258469111506,80.56,80.44,0.12000000000000455,0.12000000000000455
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,2.945252127091404,0.6757228374481201,1.8330155095706385e-05,1.9901741243183149,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,1.3703412373505888,3.1699929237365723,0.00019348101341165602,4.343972025505785,80.56,80.36,0.20000000000000284,0.20000000000000284
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,5.899895545208093,0.35696473717689514,2.178739850933198e-05,2.1060546626663412,80.56,80.2,0.35999999999999943,0.35999999999999943
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,10.271147477664645,0.7818417549133301,2.1208814966181915e-05,8.030411968910949,80.56,80.72,-0.1599999999999966,0.1599999999999966
