model,dataset,stage,config,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,4,5.984655115753412,13.911438640207052,668.3760254573061,287.533166299504,0.4301967086607758
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,8,5.972944665700197,5.07619883865118,1339.3728634286913,1575.9823943629672,1.1766569544559635
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,8,5.972944665700197,14.289744663983583,1339.3728634286913,559.8420537326678,0.4179882010596476
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,16,6.023723166435957,5.106572527438402,2656.164561006326,3133.217028452946,1.1796019999852274
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,16,6.023723166435957,14.362599235028028,2656.164561006326,1114.0044875010242,0.41940341492959593
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,32,6.194745656102896,5.24243013933301,5165.668096231597,6104.039376683298,1.181655356668434
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,32,6.194745656102896,15.240100212395191,5165.668096231597,2099.723725830459,0.4064767009251382
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,64,7.670723367482424,7.247153203934431,8343.411296945933,8831.053821968995,1.0584464204948834
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,64,7.670723367482424,15.3324780985713,8343.411296945933,4174.145861389726,0.5002924718475347
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,128,14.5635143853724,13.861334882676601,8789.087346153428,9234.319860489757,1.0506574228700987
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,128,14.5635143853724,16.949614975601435,8789.087346153428,7551.79396017272,0.859223906049561
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,256,26.67770069092512,25.416722521185875,9596.02939420798,10072.10901352893,1.0496121468331792
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,256,26.67770069092512,28.877948876470327,9596.02939420798,8864.895533096123,0.9238087097197557
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,512,50.87351845577359,48.47461823374033,10064.17514536767,10562.228618927564,1.049487758943577
